,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
276,Maruti,Suzuki,Second,"53,092",Petrol,2017,Silver,5,19.12,6.32,7.8
277,Honda,City,"{{cityName}},",{{transmission}},|,"60,621",{{color}},5,FWD,7.07,7.31
278,Hyundai,Santro,First,"2,963",Petrol,2021,Blue,5,20,5.53,6.5
279,Toyota,Yaris,First,"19,785",Petrol,2018,White,5,17.1,7.83,8.57
280,Honda,WR-V,First,"11,002",Petrol,2019,Grey,5,17.5,8.55,8.84
281,Maruti,Suzuki,First,"47,072",Petrol,2017,Black,5,20.5,4.76,4.37
282,Maruti,Suzuki,First,"37,333",Petrol,2017,White,5,20.5,4.57,4.44
283,Maruti,Suzuki,First,"54,674",CNG,2012,Others,5,Manual,2.79,2.8
284,Hyundai,i20,First,"13,616",Petrol,2014,Others,5,18.15,4.97,4.57
285,Maruti,Suzuki,Second,"84,784",Diesel,2015,Others,5,23.65,5.59,6.41
286,Ford,EcoSport,Second,"18,014",Petrol,2019,Others,5,17,8.53,8.16
287,Maruti,Suzuki,First,"41,000",Petrol,2017,Blue,5,21.4,5.91,6.89
288,Honda,City,First,"35,000",Petrol,2016,Grey,5,FWD,6.99,7.22
289,Hyundai,Elite,First,"59,235",Petrol,2015,Blue,5,18.6,4.99,5.35
290,Honda,City,First,"53,000",Petrol,2016,Grey,5,FWD,7.75,7.58
291,Tata,Safari,"{{cityName}},",{{transmission}},|,"18,800",{{color}},7,350,19.35,20.38
292,Hyundai,Grand,First,"23,000",Petrol,2017,White,5,19.77,4.4,4.63
293,Ford,Endeavour,"{{cityName}},",{{transmission}},|,"61,000",{{color}},7,12.62,37,35.39
294,Ford,Fiesta,First,"31,575",Petrol,2011,Silver,5,11.7,1.95,2.29
295,Maruti,Suzuki,First,"11,736",Petrol,2018,Blue,5,22,6.35,6.52
296,Honda,Jazz,"{{cityName}},",{{transmission}},|,"17,847",{{color}},5,18.7,6.8,7.75
297,Maruti,Suzuki,First,"10,519",Petrol,2021,Brown,5,20.52,6.8,7.75
298,BMW,X1,First,"4,902",Diesel,2022,Black,5,RWD,43.5,37.9
299,Mercedes-Benz,E-Class,Second,"29,675",Petrol,2011,White,5,12.06,11.25,13.78
300,Audi,Q2,First,"20,000",Petrol,2020,White,5,188,29.25,35.38
301,Honda,City,Second,"60,621",Petrol,2016,Silver,5,FWD,7.07,7.31
